"filename", "language", "C++", "CMake", "Python", "Markdown", "comment", "blank", "total"
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/README.md", "Markdown", 0, 0, 0, 1, 0, 1, 2
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/cell.cpp", "C++", 57, 0, 0, 0, 6, 7, 70
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/cell.h", "C++", 26, 0, 0, 0, 1, 2, 29
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/game.cpp", "C++", 144, 0, 0, 0, 10, 29, 183
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/game.h", "C++", 34, 0, 0, 0, 2, 6, 42
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/loadGame.cpp", "C++", 75, 0, 0, 0, 3, 5, 83
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/loadGame.h", "C++", 14, 0, 0, 0, 0, 3, 17
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/main.cpp", "C++", 11, 0, 0, 0, 0, 1, 12
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/mainWindow.cpp", "C++", 17, 0, 0, 0, 0, 6, 23
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/mainWindow.h", "C++", 23, 0, 0, 0, 0, 3, 26
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/pieces/bishop.h", "C++", 14, 0, 0, 0, 0, 2, 16
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/pieces/blockable.cpp", "C++", 24, 0, 0, 0, 4, 2, 30
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/pieces/blockable.h", "C++", 8, 0, 0, 0, 0, 1, 9
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/pieces/king.cpp", "C++", 12, 0, 0, 0, 0, 1, 13
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/pieces/king.h", "C++", 9, 0, 0, 0, 0, 1, 10
"/Users/jens/Library/CloudStorage/OneDrive-Personal/ELSYS/TDT4102_C++/CHESS+/pieces/knight.cpp", "C++", 12, 0, 0, 0, 0, 1, 13
